id,Artist,Duration,Song Title,Decade,Genre,Album
100,Christina Aguilera,292.34404,Ain't No Other Man,2000s,Pop,Back to Basics
101,Bryan Adams,254.01642,(Everything I Do) I Do It for You,1990s,Rock,Waking Up the Neighbours
102,Whitney Houston,357.4712,I Will Always Love You,1990s,R&B,The Bodyguard: Original Soundtrack Album
103,Sinéad O'Connor,240.28,Nothing Compares 2 U,1990s,Pop,I Do Not Want What I Haven't Got
104,Céline Dion,441.96,My Heart Will Go On,1990s,Pop,Let's Talk About Love
105,Coolio,221.90667,Gangsta's Paradise,1990s,Hip Hop,Gangsta's Paradise
106,Elton John,249.66667,Candle In The Wind 1997,1990s,Pop,Goodbye Yellow Brick Road
107,Cher,100.99955,Believe,1990s,Pop,Believe
108,Madonna,258.63791,Vogue,1990s,Pop,I'm Breathless
109,UB40,237.62612,Can't Help Falling In Love (With You),1990s,Reggae,UB40
110,Britney Spears,174.07955,...Baby One More Time,1990s,Pop,...Baby One More Time
111,Hanson,268.24,MMMBop,1990s,Pop,Middle of Nowhere
112,Puff Daddy & Faith Evans,308.77333,I'll Be Missing You (Instrumental),1990s,Hip Hop,No Way Out
113,Ace of Base,189.78667,The Sign,1990s,Pop,The Sign
114,Ricky Martin,222.46621,Livin' La Vida Loca,1990s,Pop,Ricky Martin
115,No Doubt,364.07274,Don't Speak,1990s,Alternative,Tragic Kingdom
116,Bruce Springsteen,224.02567,Streets of Philadelphia,1990s,Rock,Philadelphia: Music from the Motion Picture
117,Los Del Río,252.22639,Macarena,1990s,Latin,A mí me gusta
118,Boyz II Men,237.56,End Of The Road,1990s,R&B,Cooleyhighharmony
119,All-4-One,302.4,I Swear,1990s,R&B,All-4-One
120,Spice Girls,172.4,Wannabe,1990s,Pop,Spice
121,Santana,295.41333,Smooth,1990s,Pop,Supernatural
122,Michael Jackson,230.81751,Black Or White,1990s,Pop,Dangerous
123,Aerosmith,298.05333,I Don't Want To Miss A Thing,1990s,Rock,Armageddon: The Album
124,Brandy & Monica,239.96,The Boy Is Mine,1990s,R&B,Never Say Never
125,Snow,325.70667,Informer,1990s,Reggae,12 Inches of Snow
126,TLC,233.42667,No Scrubs,1990s,R&B,FanMail
127,Boyz II Men,258.97556,I'll Make Love To You,1990s,R&B,II
128,Lou Bega,218.36,Mambo No.5,1990s,Latin,A Little Bit of Mambo
129,TLC,269.29333,Waterfalls,1990s,R&B,CrazySexyCool
130,Ace of Base,306.58667,All That She Wants,1990s,Pop,Happy Nation
131,Nirvana,287.06667,Smells Like Teen Spirit,1990s,Rock,Nevermind
132,Meat Loaf,382.37333,I'd Do Anything For Love (But I Won't Do That),1990s,Rock,Bat Out of Hell II: Back into Hell
133,Bryan Adams,340.89601,All For Love,1990s,Rock,The Three Musketeers: Original Motion Picture Soundtrack
134,Mariah Carey,281.25333,One Sweet Day,1990s,R&B,Daydream
135,Fugees,286.65333,Killing Me Softly with His Song,1990s,Hip Hop,The Score
136,Mariah Carey,234.11955,Fantasy,1990s,R&B,Daydream
137,Seal,218.4,Kiss From a Rose,1990s,Pop,Seal II
138,Bryan Adams,291.66667,Have You Ever Really Loved A Woman?,1990s,Rock,18 til I Die
139,Eric Clapton,289.18621,Tears In Heaven,1990s,Rock,Unplugged
140,R. Kelly,320.18667,I Believe I Can Fly,1990s,R&B,R.
141,Mariah Carey,254.32803,Without You,1990s,R&B,Music Box
142,Londonbeat,305.58667,I've Been Thinking About You,1990s,Pop,In the Blood
143,MC Hammer,253.44308,U Can't Touch This,1990s,Hip Hop,Please Hammer, Don't Hurt 'Em
144,Céline Dion,132.07202,Because You Loved Me,1990s,Pop,Falling into You
145,Vanilla Ice,94.96961,Ice Ice Baby,1990s,Hip Hop,To the Extreme
146,Aqua,57.67791,Barbie Girl,1990s,Pop,Aquarium
147,Sheryl Crow,234.27138,All I Wanna Do,1990s,Pop,Tuesday Night Music Club
148,Take That,203.44118,Back For Good,1990s,Pop,Nobody Else
149,Janet Jackson,183.33664,That's the Way Love Goes,1990s,R&B,Janet
150,Roxette,440.10667,It Must Have Been Love,1990s,Pop,Look Sharp!
151,Backstreet Boys,212.85333,I Want It That Way,1990s,Pop,Millennium
152,Michael Jackson,295.98667,You Are Not Alone,1990s,Pop,HIStory: Past, Present and Future, Book I
153,Eiffel 65,116.22667,Blue (Da Ba Dee),1990s,Electronic,Europop
154,Bon Jovi,339.09333,Blaze Of Glory,1990s,Rock,Blaze of Glory
155,Bon Jovi,353.10667,Always,1990s,Rock,Cross Road
156,Shaggy,247.17333,Boombastic,1990s,Reggae,Boombastic
157,Wet Wet Wet,209.63955,Love Is All Around,1990s,Pop,Popped In Souled Out
158,Christina Aguilera,179.49025,Genie in a Bottle,1990s,Pop,Christina Aguilera
159,Madonna,321.36,Take A Bow,1990s,Pop,Bedtime Stories
160,Chumbawamba,221.40757,Tubthumping,1990s,Alternative,Tubthumper
161,Bryan Adams,355.64,Please Forgive Me,1990s,Rock,So Far So Good
162,Mr. Big,206.97333,To Be With You,1990s,Rock,Lean into It
163,Savage Garden,277.26667,Truly Madly Deeply,1990s,Pop,Savage Garden
164,Toni Braxton,219.50621,Un-Break My Heart,1990s,R&B,Secrets
165,R.E.M.,293.86621,Losing My Religion,1990s,Alternative,Out of Time
166,4 Non Blondes,256.69333,What's Up?,1990s,Alternative,Bigger, Better, Faster, More!
167,Culture Beat,338.33333,Mr. Vain,1990s,Dance,Serenity
168,Everything but the Girl,224.76,Missing,1990s,Electronic,Amplified Heart
169,Roxette,286.33066,Joyride,1990s,Pop,Joyride
170,Will Smith,225.8,Men in Black,1990s,Hip Hop,Big Willie Style
171,Kris Kross,204.54621,Jump,1990s,Hip Hop,Totally Krossed Out
172,Madonna,332.13333,Frozen,1990s,Pop,Ray of Light
173,Rednex,194.13556,Cotton Eye Joe,1990s,Dance,Sex & Violins
174,Goo Goo Dolls,216.73751,IRIS,1990s,Alternative,Dizzy Up the Girl
175,Prince,237.50485,The Most Beautiful Girl In The World,1990s,R&B,The Gold Experience
176,Jennifer Lopez,255.01333,If You Had My Love,1990s,Pop,On the 6
177,Michael Jackson,278.29333,Scream,1990s,Pop,HIStory: Past, Present and Future, Book I
178,Haddaway,189.93333,What Is Love?,1990s,Dance,Haddaway
179,Right Said Fred,89.97732,I'm Too Sexy,1990s,Pop,Up
180,Sixpence None the Richer,176.8224,Kiss Me,1990s,Pop,Sixpence None the Richer
181,Ini Kamoze,249.82667,Here Comes the Hotstepper,1990s,Reggae,Here Comes the Hotstepper
182,Enigma,254.04082,Sadeness - Part I,1990s,Electronic,MCMXC a.D.
183,Red Hot Chili Peppers,272.43057,Under The Bridge,1990s,Rock,Blood Sugar Sex Magik
184,Extreme,210.97333,More Than Words,1990s,Rock,Extreme II: Pornograffitti
185,Snap!,185.44,Rhythm Is a Dancer,1990s,Dance,The Madman's Return
186,Mariah Carey,209.49333,Vision of Love,1990s,R&B,Mariah Carey
187,Natalie Imbruglia,227.30667,Torn,1990s,Pop,Left of the Middle
188,Alanis Morissette,225.93333,Ironic,1990s,Alternative,Jagged Little Pill
189,Oasis,258.71673,Wonderwall,1990s,Rock,(What's the Story) Morning Glory?
190,Elton John,238.98667,Can You Feel The Love Tonight,1990s,Pop,The Lion King: Original Motion Picture Soundtrack
191,Mariah Carey,233.6,Dreamlover,1990s,R&B,Music Box
192,Scatman John,349.8,Scatman (ski-ba-bop-ba-dop-bop),1990s,Dance,Scatman's World
193,Crash Test Dummies,233.65333,Mmm Mmm Mmm Mmm,1990s,Alternative,God Shuffled His Feet
194,Billy Joel,249.86358,The River Of Dreams,1990s,Pop,River of Dreams
195,Janet Jackson,266.46354,Together Again,1990s,R&B,The Velvet Rope
196,The Offspring,188.13333,Pretty Fly (For A White Guy),1990s,Punk,Americana
197,Enigma,294.33556,Return To Innocence,1990s,Electronic,The Cross of Changes
198,Snap!,221.06667,The Power,1990s,Dance,World Power
199,Ms. Lauryn Hill,163.49333,Doo Wop (That Thing),1990s,R&B,The Miseducation of Lauryn Hill
200,C+C Music Factory,246.46531,Gonna Make You Sweat (Everybody Dance Now),1990s,Dance,Gonna Make You Sweat
201,Irene Cara,244.26617,Flashdance...What a Feeling,1980s,Pop,What a Feelin'
202,Pink Floyd,190.19955,Another Brick In The Wall (Part 2),1980s,Rock,The Wall
203,The Police,266.60526,Every Breath You Take,1980s,Pop,Synchronicity
204,Kim Carnes,156.37333,Bette Davis Eyes,1980s,Pop,Mistaken Identity
205,Michael Jackson,294.23955,Billie Jean,1980s,Pop,Thriller
206,Survivor,227.54667,Eye of the Tiger,1980s,Rock,Eye of the Tiger
207,George Michael,301.67955,Careless Whisper,1980s,Pop,Make It Big
208,Barbra Streisand,217.88689,Woman In Love,1980s,Pop,Greatest Hits Vol. 2
209,Madonna,340.86667,Like A Prayer,1980s,Pop,Like A Prayer
210,U.S.A. for Africa,431.07156,We Are the World,1980s,Pop,We Are the World
211,Stevie Wonder,261.10667,I Just Called To Say I Love You,1980s,R&B,The Woman in Red (Soundtrack)
212,Prince,284.93161,When Doves Cry,1980s,Pop,Purple Rain
213,Joan Jett,174.72,I Love Rock N' Roll,1980s,Rock,I Love Rock 'n Roll
214,Phil Collins,300.91955,Another Day In Paradise,1980s,Pop,...But Seriously
215,John Lennon,254.64118,(Just Like) Starting Over,1980s,Rock,Double Fantasy
216,Culture Club,242.14667,Karma Chameleon,1980s,Pop,Colour by Numbers
217,Diana Ross,213.30621,Upside Down,1980s,Pop,Diana
218,Whitney Houston,314.39955,I Wanna Dance With Somebody,1980s,Pop,Whitney
219,The Human League,239.09832,Don't You Want Me,1980s,Electronic,Dare
221,Michael Jackson,296.70354,Beat It,1980s,Pop,Thriller
222,Blondie,479.86893,Call Me,1980s,New Wave,American Gigolo Soundtrack
223,Paul McCartney,228.78621,Ebony And Ivory,1980s,Pop,Tug of War
224,Rick Astley,213.25288,Never Gonna Give You Up,1980s,Pop,Whenever You Need Somebody
225,George Michael,213.33542,Faith,1980s,Pop,Faith
226,Berlin,251.33279,Take My Breath Away,1980s,Pop,Countrips
227,Tina Turner,328.42621,What's Love Got To Do With It,1980s,Pop,Private Dancer
228,Los Lobos,203.38939,La Bamba,1980s,Rock,La Bamba (soundtrack)
229,a-ha,228,Take On Me,1980s,New Wave,Hunting High and Low
230,Olivia Newton-John,221.90667,Physical,1980s,Pop,Physical
231,David Bowie,456.01669,Let's Dance,1980s,Rock,Let's Dance
232,Cyndi Lauper,217.66385,Girls Just Wanna Have Fun,1980s,Pop,She's So Unusual
233,Men at Work,221.59156,Down Under,1980s,Pop,Business as Usual
234,Diana Ross,184.56,Endless Love,1980s,Pop,Endless Love (Soundtrack)
235,Culture Club,247.65333,Do You Really Want To Hurt Me?,1980s,Pop,Kissing to Be Clever
236,U2,277.69333,With Or Without You,1980s,Rock,The Joshua Tree
237,Bill Medley & Jennifer Warnes,406.57333,(I've Had) The Time of My Life,1980s,Pop,Dirty Dancing Soundtrack
238,Phil Collins,210.4,A Groovy Kind Of Love,1980s,Pop,Buster Soundtrack
239,Dionne Warwick,255.21333,That's What Friends Are For,1980s,R&B,Friends Soundtrack
240,The J. Geils Band,214.45333,Centerfold,1980s,Rock,Freeze-Frame
241,Starsound,971.10449,Stars On 45: Beatles Medley,1980s,Medley,Stars on Long Play
242,Bobby McFerrin,259.64,Don't Worry Be Happy,1980s,Pop,Simple Pleasures
243,U2,265.06667,I Still Haven't Found What I'm Looking For,1980s,Rock,The Joshua Tree
244,Steve Miller Band,307.96,Abracadabra,1980s,Rock,Abracadabra
245,Dexys Midnight Runners,287.30667,Come On Eileen,1980s,Pop,Too-Rye-Ay
246,Falco,200.09333,Rock Me Amadeus,1980s,Pop,Falco 3
247,Fine Young Cannibals,215.34667,She Drives Me Crazy,1980s,Pop,The Raw & the Cooked
248,Band Aid,230.13333,Do They Know It's Christmas?,1980s,Pop,Non-album single
249,Bonnie Tyler,270.30667,Total Eclipse of the Heart,1980s,Pop,Faster Than the Speed of Night
250,The Bangles,238.33333,Eternal Flame,1980s,Pop,Everything
251,Madonna,345.28,Papa Don't Preach,1980s,Pop,True Blue
252,The Bangles,203.86667,Walk Like an Egyptian,1980s,Pop,Different Light
253,UB40,352.51401,Red Red Wine,1980s,Reggae,Labor of Love
254,Foreigner,370.25333,I Want To Know What Love Is,1980s,Rock,Agent Provocateur
255,Richard Marx,289.45333,Right Here Waiting,1980s,Pop,Repeat Offender
256,Roxette,220.94322,The Look,1980s,Pop,Look Sharp!
257,Joe Cocker & Jennifer Warnes,238.86667,"Up Where We Belong [De ""Oficial y Cavallero""]",1980s,Rock,An Officer and a Gentleman (Soundtrack)
258,Wham!,230.76,Wake Me Up Before You Go-Go,1980s,Pop,Make It Big
259,Starship,222.51057,Nothing's Gonna Stop Us Now,1980s,Rock,No Protection
260,Soft Cell,156.70667,Tainted Love,1980s,Synth-Pop,Non-Stop Erotic Cabaret
261,Guns N' Roses,356.08,Sweet Child O' Mine,1980s,Rock,Appetite for Destruction
262,Queen,358.93333,Another One Bites The Dust,1980s,Rock,The Game
263,Bon Jovi,220.38667,Livin' On A Prayer,1980s,Rock,Slippery When Wet
264,Nena,254.50667,99 Red Balloons,1980s,Pop,99 Luftballons
265,Pet Shop Boys,133.942,West End Girls,1980s,Electronic,Please
266,Jive Bunny & The Mastermixers,244.34667,Swing the Mood,1980s,Medley,Swing the Mood
267,U2,144.06531,Desire,1980s,Rock,Rattle and Hum
268,Eurythmics,242.97333,Sweet Dreams (Are Made Of This),1980s,Synth-Pop,Sweet Dreams (Are Made of This)
269,The B-52's,344.58667,Love Shack,1980s,New Wave,Cosmic Thing
270,Madonna,218.62667,Like A Virgin,1980s,Pop,Like A Virgin
271,Lionel Richie,295.73333,All Night Long,1980s,R&B,Can't Slow Down
272,Frankie Goes to Hollywood,210.15964,Relax,1980s,New Wave,Welcome to the Pleasuredome
273,Phil Collins,288.54354,In The Air Tonight,1980s,Pop,Face Value
274,Phil Collins,201.08825,Against All Odds,1980s,Pop,Against All Odds (Soundtrack)
275,John Lennon,226.22621,Woman,1980s,Rock,Double Fantasy
276,Tears for Fears,348.90667,Shout,1980s,New Wave,Songs from the Big Chair
277,Lionel Richie,309.2,"Say You, Say Me",1980s,R&B,Dancing on the Ceiling
278,Queen,162.82667,Crazy Little Thing Called Love,1980s,Rock,The Game
279,Van Halen,241.59955,Jump,1980s,Rock,1984
280,Prince,246.80444,Batdance,1980s,Pop,Batman (Soundtrack)
281,Musical Youth,59.66621,Pass The Dutchie,1980s,Reggae,The Youth of Today
282,Billy Ocean,275.73601,"Get Outta My Dreams, Get Into My Car",1980s,Pop,Tear Down These Walls
283,Paul McCartney,236.02667,Say Say Say,1980s,Pop,Pipes of Peace
284,Olivia Newton-John,208,Xanadu,1980s,Pop,Xanadu (Soundtrack)
285,Peter Gabriel,306.70322,Sledgehammer,1980s,Rock,So
286,Irene Cara,320.59166,Fame,1980s,Pop,Fame (Soundtrack)
287,Lionel Richie,268.14667,Hello,1980s,R&B,Can't Slow Down
288,Ray Parker Jr.,296.80281,Ghostbusters,1980s,Pop,Ghostbusters (Soundtrack)
289,Kenny Loggins,220.69333,Footloose,1980s,Pop,Footloose (Soundtrack)
290,F.R. David,211.07188,Words,1980s,Pop,Words
291,INXS,182.8,Need You Tonight,1980s,New Wave,Kick
292,Chicago,219.09333,Hard To Say I'm Sorry,1980s,Rock,Chicago 16
293,Kaoma,366.35351,Lambada,1980s,Latin,Worldbeat
294,Madonna,238.77333,Who's That Girl,1980s,Pop,Who's That Girl (Soundtrack)
295,Mike + The Mechanics,319.84,The Living Years,1980s,Pop,Living Years
296,Tiffany,192.65333,I Think We're Alone Now,1980s,Pop,Tiffany
297,Kool & The Gang,696.43946,Celebration,1980s,R&B,Celebrate!
298,Belinda Carlisle,244.33288,Heaven Is A Place On Earth,1980s,Pop,Heaven on Earth
299,ABBA,297.28,The Winner Takes It All,1980s,Pop,Super Trouper
300,Milli Vanilli,271.28,Girl I'm Gonna Miss You,1980s,Pop,All or Nothing
301,Bee Gees,283.14667,Stayin' Alive,1970s,Disco,Saturday Night Fever (Soundtrack)
302,The Beatles,243.02667,Let It Be,1970s,Rock,Let It Be
303,George Harrison,275.73333,My Sweet Lord,1970s,Rock,All Things Must Pass
304,John Travolta,168.46667,You're The One That I Want,1970s,Soundtrack,Grease (Soundtrack)
305,Village People,191.46667,YMCA,1970s,Disco,Cruisin'
306,Carl Douglas,192.21333,Kung Fu Fighting,1970s,Disco,Kung Fu Fighting and Other Great Love Songs
307,John Lennon,265.21592,Imagine,1970s,Rock,Imagine
308,ABBA,222.89333,Dancing Queen,1970s,Disco,Arrival
309,Terry Jacks,209.90667,Seasons in the Sun,1970s,Pop,Seasons in the Sun
310,The Rolling Stones,206.33705,Angie,1970s,Rock,Goats Head Soup
311,Mungo Jerry,209.68,In The Summertime,1970s,Pop,In The Summertime
312,Queen,357.57333,Bohemian Rhapsody,1970s,Rock,A Night at the Opera
313,ABBA,163.96,Waterloo,1970s,Pop,Waterloo
314,Bee Gees,209.4,Night Fever,1970s,Disco,Saturday Night Fever (Soundtrack)
315,George McCrae,386.14667,Rock Your Baby,1970s,Disco,Rock Your Baby
316,Shocking Blue,185.14286,Venus,1970s,Rock,At Home
317,Boney M.,257.26667,Rivers of Babylon,1970s,Disco,Nightflight to Venus
318,Eagles,243.53914,Hotel California,1970s,Rock,Hotel California
319,Blondie,416.06667,Heart Of Glass,1970s,New Wave,Parallel Lines
320,Tony Orlando,199.66667,Tie a Yellow Ribbon 'Round the Ole Oak Tree,1970s,Pop,Tie a Yellow Ribbon Round the Ole Oak Tree
321,Chicago,293.93288,If You Leave Me Now,1970s,Rock,Chicago X
322,Gloria Gaynor,266.10667,I Will Survive,1970s,Disco,Love Tracks
323,Elton John,273.81333,Don't Go Breaking My Heart,1970s,Pop,Single
324,Don McLean,515.88304,American Pie,1970s,Folk Rock,American Pie
325,Simon & Garfunkel,293.42667,Bridge Over Troubled Water,1970s,Folk Rock,Bridge Over Troubled Water
326,Chic,229.22667,Le Freak,1970s,Disco,C'est Chic
327,Billy Swan,128.29333,I Can Help,1970s,Country,I Can Help
328,Lynn Anderson,190.7298,I Beg Your Pardon (I Never Promised You a Rose Garden),1970s,Country,Rose Garden
329,ABBA,251.8,Fernando,1970s,Pop,ABBA: The Album
330,Bee Gees,243.61333,How Deep Is Your Love,1970s,Pop,Saturday Night Fever (Soundtrack)
331,Bee Gees,302.06667,Tragedy,1970s,Disco,Spirits Having Flown
332,Rod Stewart,296.84,Maggie May,1970s,Rock,Every Picture Tells a Story
333,Elton John,234.10667,Crocodile Rock,1970s,Rock,Don't Shoot Me I'm Only the Piano Player
334,Donna Summer,282.67955,Hot Stuff,1970s,Disco,Bad Girls
335,Roberta Flack,282.48771,Killing Me Softly With His Song,1970s,Pop,Killing Me Softly
336,Bachman-Turner Overdrive,224.82621,You Ain't Seen Nothin' Yet,1970s,Rock,Not Fragile
337,Carly Simon,288.8098,You're so Vain,1970s,Pop,No Secrets
338,Hot Butter,151.90667,Popcorn,1970s,Electronic,Popcorn
339,Gerry Rafferty,311.61288,Baker Street,1970s,Rock,City to City
340,Patrick Hernandez,197.51955,Born to Be Alive,1970s,Disco,Born to Be Alive
341,Donna Summer,195.90667,I Feel Love,1970s,Disco,I Remember Yesterday
342,Bonnie Tyler,198.81333,It's a Heartache,1970s,Pop,It's a Heartache
343,ABBA,207.36,Sos,1970s,Pop,ABBA
344,M,116.93333,Pop Muzik,1970s,Pop,New York • London • Paris • Munich
345,The Rubettes,247.70667,Sugar Baby Love,1970s,Pop,Wear It's 'At
346,Norman Greenbaum,242.58621,Spirit In The Sky,1970s,Rock,Spirit In The Sky
347,Harry Nilsson,198.29333,Without You,1970s,Pop,Nilsson Schmilsson
